"1 process MPI par nœud, 1th par process MPI, kernel 1"
Nb de nœuds,1,2,4,8,16,32,64,128,256
Texec (s),"16,81","9,70","5,71","3,77","2,71",,,,
Gigaflops,"8,18","14,17","24,08","36,49","50,64",,,,
Speedup,"1,00","1,73","2,95","4,46","6,19","0,00","0,00","0,00","0,00"
Efficacité (%),100,87,74,56,39,0,0,0,0

"1 process MPI par nœud, 2th par process MPI, kernel 1"
Nb de nœuds,1,2,4,8,16,32,64,128,256
Texec (s),"9,18","5,67","3,74","2,73","2,22",,,,
Gigaflops,"14,96","24,20","36,70","50,23","61,77",,,,
Speedup,"1,00","1,62","2,45","3,36","4,13","0,00","0,00","0,00","0,00"
Efficacité (%),100,81,61,42,26,0,0,0,0

"1 process MPI par nœud, 1th par process MPI, kernel 0"
Nb de nœuds,1,2,4,8,16,32,64,128,256
Texec (s),"111,16","56,36","29,87","15,71","8,26",,,,
Gigaflops,"1,24","2,44","4,60","8,75","16,64",,,,
Speedup,"1,00","1,97","3,71","7,06","13,42","0,00","0,00","0,00","0,00"
Efficacité (%),100,98,93,88,84,0,0,0,0

"1 process MPI par nœud, 2th par process MPI, kernel 0"
Nb de nœuds,1,2,4,8,16,32,64,128,256
Texec (s),"58,84","29,55","15,64","8,57","4,85",,,,
Gigaflops,"2,33","4,65","8,78","16,04","28,39",,,,
Speedup,"1,00","2,00","3,77","6,88","12,18","0,00","0,00","0,00","0,00"
Efficacité (%),100,100,94,86,76,0,0,0,0